Company,Loan ID,True Payment Date,True Devolution,True Total Payment,True Payment Currency,True Principal Payment,True Interest Payment,True Fee Payment,True Other Payment,True Tax Payment,True Fee Tax Payment,True Rebates,True Outstanding Loan Value,True Payment Status
ABF,DSB2069-001,2024-09-17,6.4,"1,552.52",USD,"1,403.41",117.99,8.3,,15.34,1.08,0.0,0,Prepayment
ABF,DSB0348-012,2023-05-12,22.14,202.48,USD,171.48,7.29,0.55,,0.95,0.07,0.0,0,On Time
ABF,DSB2940-011,2025-05-28,27.87,565,USD,512.05,20.34,1.86,,2.64,0.24,0.0,0,Late
ABF,DSB2524-002,2024-12-10,417.26,"3,427.2",USD,"2,900.53",85.68,11.14,,11.14,1.45,0.0,0,Prepayment
ABF,DSB2486-001,2024-12-26,22.07,761.6,USD,685.39,41.13,6.79,,5.35,0.88,0.0,0,Late
ABF,DSB2829-049,2025-05-26,36.22,749.7,USD,634.38,67.47,2.53,,8.77,0.33,0.0,0,Late
ABF,DSB0033-002,2023-01-23,79.53,"1,288",USD,"1,166.51",32.2,4.93,,4.19,0.64,0.0,0,Prepayment
ABF,DSB2049-004,2024-08-07,25.08,229.5,USD,194.38,8.26,0.62,,1.07,0.08,0.0,0,Prepayment
ABF,DSB0327-002,2023-05-18,22.42,251.99,USD,212.8,13.61,1.23,,1.77,0.16,0.0,0,On Time
ABF,DSB2344-001,2024-11-19,27.62,336,USD,282.06,20.16,3.13,,2.62,0.41,0.0,0,Late
ABF,DSB1671-001,2024-05-14,5.57,67.8,USD,56.94,4.07,0.61,,0.53,0.08,0.0,0,On Time
ABF,DSB0296-018,2023-05-15,0,48.99,USD,44.78,3.72,0.0,,0.48,0,0.0,"6,563.26",Prepayment
ABF,DSB2527-002,2025-01-20,159,"2,316.5",USD,"1,958.43",166.79,9.38,,21.68,1.22,0.0,0,Late
ABF,DSB1528-001,2024-04-06,499.87,"7,660.8",USD,"6,481.68",574.56,26.55,,74.69,3.45,0.0,0,Prepayment
ABF,DSB2861-002,2025-05-02,260.45,"3,168.48",USD,"2,681.94",190.11,9.97,,24.71,1.3,0.0,0,Prepayment
ABF,DSB0625-004,2023-07-20,293.32,"5,947.2",USD,"5,400.55",214.1,10.09,,27.83,1.31,0.0,0,Prepayment
ABF,DSB1866-002,2024-08-08,0,"1,000",USD,879.5,100,6.64,,13,0.86,0.0,13,Prepayment
ABF,DSB0200-039,2023-03-30,36.1,405.67,USD,343.1,21.91,1.52,,2.85,0.2,0.0,0,Prepayment
ABF,DSB0200-014,2023-03-30,26.16,293.98,USD,248.64,15.87,1.1,,2.06,0.14,0.0,0,Prepayment
