Company,Customer ID,Application ID,Loan ID,Tpv,Product Type,Disbursement Date,Disbursement Amount,Origination Fee,Taxes,Loan Currency,Interest Rate Apr,Term,Term Unit,Payment Frequency,Pledged To,Pledged Date,Loan Status,Outstanding Loan Value,Other,New Loan ID,New Loan Date,Old Loan ID,Recovery Date,Recovery Value
ABF,CLI2452,DSB1672-003,DSB1672-003,450,factoring,2024-04-05,378.18,3.83,0.5,USD,89.67,33,days,bullet,,,Complete,0,,,,,,
ABF,CLI2394,DSB1674-001,DSB1674-001,996.8,factoring,2024-04-05,836.93,9.16,1.19,USD,133.94,19,days,bullet,,,Complete,0,,,,,,
ABF,CLI1970,DSB1679-005,DSB1679-005,655.4,factoring,2024-04-05,593.56,2.52,0.33,USD,74.78,21,days,bullet,,,Complete,0,,,,,,
ABF,CLI0581,DSB1680-008,DSB1680-008,840,factoring,2024-04-05,710.49,3.11,0.4,USD,75.04,33,days,bullet,,,Complete,0,,,,,,
ABF,CLI2174,DSB0319-002,DSB0319-002,145.86,factoring,2023-04-03,123.44,0.48,0.06,USD,62.27,46,days,bullet,,,Complete,0,,,,,,
ABF,CLI2537,DSB2966-009,DSB2966-009,369.6,factoring,2025-05-14,334.61,1.52,0.2,USD,31.18,92,days,bullet,,,Complete,0,,,,,,
ABF,CLI2606,DSB1176-001,DSB1176-001,255,factoring,2023-11-17,212.2,4.02,0.52,USD,109.1,34,days,bullet,,,Complete,0,,,,,,
ABF,CLI1970,DSB1181-017,DSB1181-017,322.05,factoring,2023-11-17,291.95,0.99,0.13,USD,50.36,42,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB1792-002,DSB1792-002,71.36,factoring,2024-05-03,60.4,0.22,0.03,USD,60.65,38,days,bullet,,,Complete,0,,,,,,
ABF,CLI2747,DSB2438-002,DSB2438-002,105.09,factoring,2024-11-08,88.44,0.78,0.1,USD,64.13,45,days,bullet,,,Complete,0,,,,,,
ABF,CLI2174,DSB0931-007,DSB0931-007,300.11,factoring,2023-09-14,253.91,1.05,0.14,USD,67.98,36,days,bullet,,,Complete,0,,,,,,
ABF,CLI0581,DSB0790-012,DSB0790-012,31.64,factoring,2023-08-09,26.79,0.1,0.01,USD,55.54,30,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB2218-022,DSB2218-022,214.2,factoring,2024-09-06,181.66,0.37,0.05,USD,52.58,42,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB2218-034,DSB2218-034,87.55,factoring,2024-09-06,74.25,0.15,0.02,USD,52.58,42,days,bullet,,,Complete,0,,,,,,
ABF,CLI2174,DSB0106-020,DSB0106-020,489.39,factoring,2023-01-31,414.02,1.73,0.23,USD,61.21,38,days,bullet,,,Complete,0,,,,,,
ABF,CLI2174,DSB0106-018,DSB0106-018,608.69,factoring,2023-01-31,514.95,2.16,0.28,USD,61.22,38,days,bullet,,,Complete,0,,,,,,
ABF,CLI0818,DSB2473-001,DSB2473-001,"11,533.93",factoring,2024-11-18,"10,447.87",42.48,5.52,USD,52.57,30,days,bullet,,,Complete,0,,,,,,
ABF,CLI2165,DSB0892-002,DSB0892-002,456.7,factoring,2023-09-05,412.27,2.95,0.38,USD,56.44,30,days,bullet,,,Complete,0,,,,,,
ABF,CLI1302,DSB1684-001,DSB1684-001,"4,370.95",factoring,2024-04-09,"3,700.31",13.27,1.73,USD,53.18,55,days,bullet,,,Complete,0,,,,,,
ABF,CLI0058,DSB2571-005,DSB2571-005,"1,310.4",factoring,2024-12-13,"1,186.45",5.33,0.69,USD,57.52,28,days,bullet,,,Complete,0,,,,,,
ABF,CLI2043,DSB0924-003,DSB0924-003,210,factoring,2023-09-13,177.86,0.57,0.07,USD,61.75,49,days,bullet,,,Complete,0,,,,,,
ABF,CLI2256,DSB0370-001,DSB0370-001,"1,539",factoring,2023-04-19,"1,293.15",13.27,1.73,USD,104.65,23,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB0964-015,DSB0964-015,377.4,factoring,2023-09-27,319.61,1.04,0.14,USD,60.32,40,days,bullet,,,Complete,0,,,,,,
ABF,CLI2606,DSB0351-001,DSB0351-001,255,factoring,2023-04-14,213.97,2.46,0.32,USD,92.41,28,days,bullet,,,Complete,0,,,,,,
ABF,CLI2174,DSB0641-008,DSB0641-008,96.05,factoring,2023-06-30,81.21,0.38,0.05,USD,61.47,27,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB1767-004,DSB1767-004,82.4,factoring,2024-04-26,69.79,0.22,0.03,USD,53.53,45,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB1767-010,DSB1767-010,"2,245.3",factoring,2024-04-26,"1,901.66",6.06,0.79,USD,53.56,45,days,bullet,,,Complete,0,,,,,,
ABF,CLI2747,DSB1766-003,DSB1766-003,175.15,factoring,2024-04-26,147.46,1.26,0.16,USD,52.45,98,days,bullet,,,Complete,0,,,,,,
ABF,CLI2636,DSB0974-001,DSB0974-001,"4,565",factoring,2023-09-29,"3,858.25",19.47,2.53,USD,68.08,28,days,bullet,,,Complete,0,,,,,,
ABF,CLI2043,DSB0978-009,DSB0978-009,"1,356",factoring,2023-09-29,"1,148.26",3.84,0.5,USD,53.02,53,days,bullet,,,Complete,0,,,,,,
