Company,Loan ID,Payment Date,Tpv,Total Payment,Currency,Principal Payment,Interest Payment,Fee Payment,Other Payment,Tax Payment,All Rebates,Outstanding Loan Value
ABT,DSB1191-004,2025-11-25,"5,932.5","6,732.47785",USD,"5,706.45",707.945,200.04,,118.03805,,
ABT,DSB1191-003,2025-11-25,"6,667","7,566.022726",USD,"6,412.98",795.595333,224.8,,132.651393,,
ABT,DSB1410-001,2025-11-19,"4,500","5,155.54125",USD,"4,144.05",580.125,315,,116.36625,,
ABT,DSB1346-012,2025-11-07,674.96,729.239158,USD,659.71,48.034653,13.5,,7.999505,,
ABT,DSB1346-008,2025-11-07,"1,042.45","1,126.282092",USD,"1,018.89",74.187692,20.85,,12.3549,,
ABT,DSB1346-007,2025-11-07,"1,134.15","1,225.356453",USD,"1,108.52",80.713675,22.68,,13.441178,,
ABT,DSB1346-006,2025-11-07,"1,349.97","1,458.532337",USD,"1,319.46",96.072865,27,,15.999472,,
ABT,DSB1346-010,2025-11-07,"1,448.65","1,565.148019",USD,"1,415.91",103.095592,28.97,,17.168527,,
ABT,DSB1346-002,2025-11-07,"1,556.48","1,681.649527",USD,"1,521.3",110.769493,31.13,,18.446934,,
ABT,DSB1346-011,2025-11-07,"3,680.47","3,976.447264",USD,"3,597.29",261.926782,73.61,,43.619782,,
ABT,DSB1346-005,2025-11-07,"4,243.15","4,584.377051",USD,"4,147.26",301.970842,84.86,,50.288009,,
ABT,DSB1346-009,2025-11-07,"5,904.86","6,379.718999",USD,"5,771.41",420.229203,118.1,,69.982796,,
ABF,DSB3076-004,2025-11-07,"2,771.33","3,272.386464",USD,"2,614.75",443.4128,138.57,,75.657764,,
ABT,DSB1346-001,2025-11-07,"7,626.19","8,239.47549",USD,"7,453.84",542.730522,152.52,,90.382568,,
ABT,DSB1346-004,2025-11-07,"9,143.09","9,878.362059",USD,"8,936.46",650.683238,182.86,,108.360621,,
ABT,DSB1346-013,2025-11-07,"9,242.9","9,986.198613",USD,"9,034.01",657.786383,184.86,,109.54403,,
ABT,DSB1346-003,2025-11-07,"13,365.05","14,439.845046",USD,"13,063",951.146058,267.3,,158.397988,,
ABF,DSB3076-005,2025-11-07,"7,373.25","8,706.3336",USD,"6,956.66","1,179.72",368.66,,201.2894,,
ABF,DSB3076-002,2025-11-07,"7,932.6","9,366.81408",USD,"7,484.41","1,269.216",396.63,,216.55998,,
ABF,DSB3076-003,2025-11-07,"11,441.25","13,509.828",USD,"10,794.82","1,830.6",572.06,,312.3458,,
ABF,DSB3076-001,2025-11-07,"16,297.43","19,244.005344",USD,"15,376.63","2,607.5888",814.87,,444.919644,,
ABT,DSB1359-002,2025-11-06,"33,236.13","36,240.676152",USD,"31,612.49","2,658.8904","1,436.85",,532.446252,,
ABT,DSB1309-001,2025-10-27,"43,778.38","49,048.129528",USD,"43,340.6","2,634.874764",437.78,,"3,072.654764",,
ABT,DSB1191-001,2025-10-26,"1,900","2,113.268666",USD,"1,827.6",188.733333,64.07,,32.864433,,
ABT,DSB1426-001,2025-10-26,"28,562.96","31,099.350848",USD,"28,220.2","1,268.195424",342.76,,"1,610.955424",,
ABT,DSB1425-001,2025-10-26,"94,273.51","102,644.997688",USD,"93,142.23","4,185.743844","1,131.28",,"5,317.023844",,
ABT,DSB1307-001,2025-10-25,"6,563.45","7,340.56248",USD,"6,497.82",388.55624,65.63,,454.18624,,
ABT,DSB1307-002,2025-10-25,"9,488.62","10,612.072608",USD,"9,393.73",561.726304,94.89,,656.616304,,
ABT,DSB1289-001,2025-10-25,"10,387.68","11,638.079668",USD,"10,283.8",625.199834,103.88,,729.079834,,
ABT,DSB1435-011,2025-10-24,"1,081.08","1,187.360975",USD,"1,055.47",94.05396,22.66,,15.172815,,
ABT,DSB1435-012,2025-10-24,"1,310.44","1,439.269356",USD,"1,279.4",114.00828,27.47,,18.392176,,
ABT,DSB1411-002,2025-10-20,"1,719","1,850.116725",USD,"1,675.29",116.0325,38.68,,20.112625,,
ABT,DSB1412-002,2025-10-20,"7,201","7,554.965155",USD,"7,017.92",313.2435,162.02,,61.784255,,
